"Site","Latitude","Longitude","Year","Date","Depth_ft","Transect","Classcode","Amount","Size","Distance"
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Sunflower Star",1,44,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Blood Star",4,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"California Sea Cucumber",22,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Green/Pallid Urchin",7,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Kelp Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Kelp Crab (Juvenile)",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Large Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Leather Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Orange Cucumber",31,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Plumose Anemone",8,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Purple Urchin",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Rainbow Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Red Urchin",39,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,27.5,5,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Blood Star",2,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"California Sea Cucumber",19,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Giant Pacific Octopus",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Green/Pallid Urchin",4,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Kelp Crab",3,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Kelp Crab (Juvenile)",5,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Large Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Orange Cucumber",4,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Purple Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Rainbow Star",3,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Red Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,38.5,6,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Blood Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"California Sea Cucumber",18,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Giant Spined Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Green/Pallid Urchin",2,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Kelp Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Kelp Crab (Juvenile)",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Large Anemone",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Orange Cucumber",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Purple Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Rainbow Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Red Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,36.5,1,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Blood Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"California Sea Cucumber",21,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Green/Pallid Urchin",19,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Gumboot Chiton",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Hairy Triton",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Kelp Crab",3,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Kelp Crab (Juvenile)",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Large Anemone",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Orange Cucumber",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Purple Urchin",10,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Rainbow Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Red Urchin",47,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,38.5,2,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Blood Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"California Sea Cucumber",16,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Green/Pallid Urchin",2,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Kelp Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Kelp Crab (Juvenile)",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Large Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Orange Cucumber",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Purple Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Rainbow Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Red Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,25.5,3,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,23.5,4,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,23.5,4,"Blood Star",2,NA,30
