"Site","Latitude","Longitude","Year","Date","Transect","Depth_ft","Category","Classcode","Amount","Total_Amount","Percentage"
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Articulated Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Kelp Holdfast",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Seagrasses",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","None",13,30,43.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Other Brown Algae",2,30,6.66666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Encrusting Red Algae",11,30,36.6666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Red Algae",2,30,6.66666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Crustose Coralline",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Sessile Invertebrates",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Superlayer","Superlayer Brown Algae",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Superlayer","Superlayer Red Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Articulated Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Kelp Holdfast",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,3,37.5,"UPC Cover","Seagrasses",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","None",10,30,33.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Other Brown Algae",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Encrusting Red Algae",13,30,43.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Red Algae",2,30,6.66666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Crustose Coralline",3,30,10
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Sessile Invertebrates",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Superlayer","Superlayer Brown Algae",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Superlayer","Superlayer Red Algae",3,30,10
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Articulated Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Kelp Holdfast",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,4,41,"UPC Cover","Seagrasses",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","None",9,30,30
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Other Brown Algae",2,30,6.66666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Encrusting Red Algae",16,30,53.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Red Algae",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Crustose Coralline",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Sessile Invertebrates",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Superlayer","Superlayer Brown Algae",11,30,36.6666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Superlayer","Superlayer Red Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Articulated Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Kelp Holdfast",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,5,28.5,"UPC Cover","Seagrasses",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","None",8,30,26.6666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Other Brown Algae",4,30,13.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Encrusting Red Algae",14,30,46.6666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Red Algae",3,30,10
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Crustose Coralline",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Sessile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Superlayer","Superlayer Brown Algae",19,30,63.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Superlayer","Superlayer Red Algae",1,30,3.33333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Articulated Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Kelp Holdfast",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,6,21.5,"UPC Cover","Seagrasses",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","None",10,30,33.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Other Brown Algae",11,30,36.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Encrusting Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Red Algae",3,30,10
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Crustose Coralline",4,30,13.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Sessile Invertebrates",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Superlayer","Superlayer Brown Algae",17,30,56.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Superlayer","Superlayer Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Articulated Coralline",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Superlayer","Superlayer Acid Weed",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Kelp Holdfast",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Superlayer","Superlayer Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,1,16,"UPC Cover","Seagrasses",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","None",4,30,13.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Other Brown Algae",3,30,10
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Encrusting Red Algae",6,30,20
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Red Algae",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Crustose Coralline",9,30,30
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Sessile Invertebrates",4,30,13.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Superlayer","Superlayer Brown Algae",15,30,50
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Superlayer","Superlayer Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Articulated Coralline",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Superlayer","Superlayer Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Kelp Holdfast",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Superlayer","Superlayer Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,2,15.5,"UPC Cover","Seagrasses",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","None",15,30,50
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Other Brown Algae",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Encrusting Red Algae",5,30,16.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Red Algae",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Crustose Coralline",4,30,13.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Sessile Invertebrates",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Superlayer","Superlayer Brown Algae",22,30,73.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Superlayer","Superlayer Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Articulated Coralline",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Superlayer","Superlayer Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Kelp Holdfast",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Superlayer","Superlayer Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,3,16,"UPC Cover","Seagrasses",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","None",14,30,46.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Other Brown Algae",4,30,13.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Encrusting Red Algae",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Crustose Coralline",9,30,30
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Sessile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Superlayer","Superlayer Brown Algae",18,30,60
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Superlayer","Superlayer Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Articulated Coralline",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Superlayer","Superlayer Acid Weed",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Kelp Holdfast",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Superlayer","Superlayer Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,4,9,"UPC Cover","Seagrasses",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","None",11,30,36.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Other Brown Algae",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Encrusting Red Algae",6,30,20
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Crustose Coralline",5,30,16.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Sessile Invertebrates",3,30,10
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Superlayer","Superlayer Brown Algae",14,30,46.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Superlayer","Superlayer Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Articulated Coralline",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Superlayer","Superlayer Acid Weed",3,30,10
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Kelp Holdfast",2,30,6.66666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Acid Weed",1,30,3.33333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Superlayer","Superlayer Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,5,10,"UPC Cover","Seagrasses",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","None",7,30,23.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Other Brown Algae",3,30,10
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Encrusting Red Algae",5,30,16.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Crustose Coralline",7,30,23.3333333333333
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Sessile Invertebrates",3,30,10
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Superlayer","Superlayer Brown Algae",14,30,46.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Superlayer","Superlayer Red Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Articulated Coralline",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Superlayer","Superlayer Acid Weed",6,30,20
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Kelp Holdfast",5,30,16.6666666666667
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Acid Weed",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Superlayer","Superlayer Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Green Algae",0,30,0
"McCurdy Point",48.138791,-122.844791,2025,2025-07-06,6,9,"UPC Cover","Seagrasses",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","None",29,30,96.6666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Other Brown Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Encrusting Red Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Superlayer","Superlayer Mobile Invertebrates",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Red Algae",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Crustose Coralline",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Sessile Invertebrates",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Superlayer","Superlayer Brown Algae",7,30,23.3333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Superlayer","Superlayer Red Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Articulated Coralline",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Kelp Holdfast",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Superlayer","Superlayer Green Algae",10,30,33.3333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Green Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,1,47,"UPC Cover","Seagrasses",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","None",27,30,90
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Other Brown Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Encrusting Red Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Red Algae",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Crustose Coralline",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Sessile Invertebrates",2,30,6.66666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Superlayer","Superlayer Brown Algae",2,30,6.66666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Superlayer","Superlayer Red Algae",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Articulated Coralline",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Kelp Holdfast",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Superlayer","Superlayer Green Algae",11,30,36.6666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Green Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,2,53.5,"UPC Cover","Seagrasses",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","None",17,30,56.6666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Other Brown Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Encrusting Red Algae",6,30,20
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Red Algae",2,30,6.66666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Crustose Coralline",3,30,10
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Sessile Invertebrates",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Superlayer","Superlayer Brown Algae",3,30,10
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Superlayer","Superlayer Red Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Articulated Coralline",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Kelp Holdfast",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Green Algae",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,3,34,"UPC Cover","Seagrasses",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,4,62,"UPC Cover","None",22,30,73.3333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,4,62,"UPC Cover","Other Brown Algae",0,30,0
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,4,62,"UPC Cover","Encrusting Red Algae",2,30,6.66666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,4,62,"UPC Superlayer","Superlayer Mobile Invertebrates",1,30,3.33333333333333
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,4,62,"UPC Cover","Red Algae",2,30,6.66666666666667
"Saltwater State Park",47.373282,-122.327981,2023,2023-08-13,4,62,"UPC Cover","Crustose Coralline",2,30,6.66666666666667
