"Site","Latitude","Longitude","Year","Date","Transect","Classcode","Sex_Age","Amount","Size_category","Size_mean_cm","Size_min_cm","Size_max_cm","Depth_ft","depth_start_ft","depth_end_ft","Visibility_m"
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,31,31,31,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,21,21,21,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,14,14,14,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,12,12,12,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,22,22,22,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,32,32,32,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,11,11,11,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,12,12,12,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Perch",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Lingcod",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Pile Perch",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Puget Sound YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Quillback Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Red Irish Lord",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Shiner Perch",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Spiny Dogfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Spotted Ratfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Striped Perch",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Vermillion YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Wolf Eel",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Yelloweye YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Black Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Blue Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Bocaccio YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Brown Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Cabezon",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Canary Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Canary YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"China Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Copper Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Deacon Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Forage Fish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Gopher Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Grass Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Kelp Greenling","Male",1,NA,24,24,24,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Kelp Greenling","Male",1,NA,21,21,21,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Kelp Greenling","Juvenile",1,NA,11,11,11,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Kelp Greenling","Juvenile",1,NA,12,12,12,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Kelp Greenling","Juvenile",1,NA,13,13,13,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Kelp Perch",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Lingcod",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Pile Perch",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Puget Sound YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Quillback Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Red Irish Lord",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Shiner Perch",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Spiny Dogfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Spotted Ratfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Striped Perch",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Vermillion YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Wolf Eel",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Yelloweye YOY",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,33,33,33,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Black Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Blue Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Bocaccio YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Brown Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Cabezon",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Canary Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Canary YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"China Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Copper Rockfish",NA,1,NA,12,12,12,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Deacon Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Forage Fish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Gopher Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Grass Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Juvenile",1,NA,12,12,12,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Juvenile",1,NA,14,14,14,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Juvenile",1,NA,13,13,13,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Juvenile",1,NA,13,13,13,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Juvenile",1,NA,11,11,11,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Female",1,NA,28,28,28,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Female",1,NA,23,23,23,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Female",1,NA,25,25,25,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Female",1,NA,24,24,24,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Female",1,NA,21,21,21,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Male",1,NA,30,30,30,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Greenling","Male",1,NA,27,27,27,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Kelp Perch",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Lingcod",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Pile Perch",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Puget Sound YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Quillback Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Red Irish Lord",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Shiner Perch",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Spiny Dogfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Spotted Ratfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Striped Perch",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Vermillion YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Wolf Eel",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Yelloweye YOY",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,46,46,46,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Black Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Blue Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Bocaccio YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Brown Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Cabezon",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Canary Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Canary YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"China Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Copper Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Deacon Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Forage Fish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Gopher Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Grass Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Kelp Greenling","Juvenile",1,NA,10,10,10,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Kelp Greenling","Juvenile",1,NA,12,12,12,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Kelp Greenling","Juvenile",1,NA,12,12,12,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Kelp Perch",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Lingcod",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Pile Perch",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Puget Sound YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Quillback Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Red Irish Lord",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Shiner Perch",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Spiny Dogfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Spotted Ratfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Striped Perch",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Vermillion YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Wolf Eel",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Yelloweye YOY",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,15.5,16,15,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Black Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Blue Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Bocaccio YOY",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Brown Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Cabezon",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Canary Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Canary YOY",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"China Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Copper Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Deacon Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Forage Fish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Gopher Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Grass Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Greenling","Female",1,NA,22,22,22,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Greenling","Female",1,NA,19,19,19,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Greenling","Male",1,NA,22,22,22,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Greenling","Male",1,NA,23,23,23,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Greenling","Male",1,NA,24,24,24,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Greenling","Juvenile",1,NA,15,15,15,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Kelp Perch",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Lingcod",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Pile Perch",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Puget Sound YOY",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Quillback Rockfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Red Irish Lord",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Shiner Perch",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Spiny Dogfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Spotted Ratfish",NA,0,NA,NA,NA,NA,27.5,25,30,8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,"Striped Perch",NA,0,NA,NA,NA,NA,27.5,25,30,8
