"Site","Latitude","Longitude","Year","Date","Transect","Depth_ft","Classcode","Amount","Stipes","Distance"
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Sugar Kelp",9,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Broad-Ribbed Kelp",5,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Bull Kelp",10,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Five-Ribbed Kelp",50,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Sieve Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Sugar Kelp",36,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,4,15.5,"Woody Kelp",2,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Broad-Ribbed Kelp",8,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Five-Ribbed Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Sieve Kelp",50,NA,15.6
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Sugar Kelp",39,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,5,27.5,"Woody Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Broad-Ribbed Kelp",8,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Sieve Kelp",50,NA,21
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Sugar Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,6,38.5,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Five-Ribbed Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Sieve Kelp",52,NA,14
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Sugar Kelp",58,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Torn Kelp",4,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,1,36.5,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Sieve Kelp",53,NA,25.6
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Sugar Kelp",29,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,2,38.5,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Five-Ribbed Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Sieve Kelp",42,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Sugar Kelp",28,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Torn Kelp",2,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,3,25.5,"Woody Kelp",8,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Bull Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Sieve Kelp",15,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Sugar Kelp",22,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Three-Ribbed Kelp",4,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Winged Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,4,23.5,"Woody Kelp",22,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Bull Kelp",20,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Five-Ribbed Kelp",4,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Sieve Kelp",2,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Sugar Kelp",10,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Torn Kelp",15,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,5,11,"Woody Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Five-Ribbed Kelp",5,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Sieve Kelp",10,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Sugar Kelp",53,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Three-Ribbed Kelp",23,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Winged Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2024,2024-09-06,6,11.5,"Woody Kelp",21,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Acid Weed",1,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Five-Ribbed Kelp",2,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Sieve Kelp",28,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Sugar Kelp",76,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,1,36.5,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Broad-Ribbed Kelp",31,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Bull Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Sieve Kelp",23,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Sugar Kelp",58,NA,22
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,2,39,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Bull Kelp",8,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Five-Ribbed Kelp",18,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Sieve Kelp",22,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Sugar Kelp",36,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,3,24,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Broad-Ribbed Kelp",29,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Bull Kelp",2,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Sieve Kelp",40,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Sugar Kelp",47,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,4,30.5,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Acid Weed",2,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Broad-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Bull Kelp",71,NA,22
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Five-Ribbed Kelp",14,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Sieve Kelp",12,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Sugar Kelp",16,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,5,15.5,"Woody Kelp",29,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Broad-Ribbed Kelp",7,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Bull Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Five-Ribbed Kelp",2,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Sieve Kelp",20,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Sugar Kelp",27,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2025,2025-09-04,6,11.5,"Woody Kelp",55,NA,16
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Acid Weed",3,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Broad-Ribbed Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Bull Kelp",5,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Feather Boa Kelp",0,0,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Five-Ribbed Kelp",15,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Giant Kelp",0,0,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Sieve Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Sugar Kelp",27,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Three-Ribbed Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Torn Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Winged Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Wire Weed",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,1,23,"Woody Kelp",50,NA,13.6
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Acid Weed",5,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Broad-Ribbed Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Bull Kelp",9,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Feather Boa Kelp",0,0,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Five-Ribbed Kelp",15,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Giant Kelp",0,0,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Sieve Kelp",1,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Sugar Kelp",11,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Three-Ribbed Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Torn Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Winged Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Wire Weed",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,2,26.5,"Woody Kelp",51,NA,15.6
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Acid Weed",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Broad-Ribbed Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Bull Kelp",3,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Feather Boa Kelp",0,0,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Five-Ribbed Kelp",11,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Giant Kelp",0,0,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Sieve Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Sugar Kelp",0,NA,30
"Blake Island South",47.53049,-122.49498,2022,2022-10-01,3,31,"Three-Ribbed Kelp",0,NA,30
