"basin","basin_id","year","n_sites","ak_acid_weed_avg","ak_acid_weed_sd","ak_acid_weed_var","ak_broad-ribbed_kelp_avg","ak_broad-ribbed_kelp_sd","ak_broad-ribbed_kelp_var","ak_bull_kelp_avg","ak_bull_kelp_sd","ak_bull_kelp_var","ak_feather_boa_n_avg","ak_feather_boa_n_sd","ak_feather_boa_n_var","ak_five-ribbed_kelp_avg","ak_five-ribbed_kelp_sd","ak_five-ribbed_kelp_var","ak_giant_kelp_n_avg","ak_giant_kelp_n_sd","ak_giant_kelp_n_var","ak_sieve_kelp_avg","ak_sieve_kelp_sd","ak_sieve_kelp_var","ak_sugar_kelp_avg","ak_sugar_kelp_sd","ak_sugar_kelp_var","ak_three-ribbed_kelp_avg","ak_three-ribbed_kelp_sd","ak_three-ribbed_kelp_var","ak_torn_kelp_avg","ak_torn_kelp_sd","ak_torn_kelp_var","ak_winged_kelp_avg","ak_winged_kelp_sd","ak_winged_kelp_var","ak_wire_weed_avg","ak_wire_weed_sd","ak_wire_weed_var","ak_woody_kelp_avg","ak_woody_kelp_sd","ak_woody_kelp_var","cv_acid_weed_avg","cv_acid_weed_sd","cv_acid_weed_var","cv_articulated_avg","cv_articulated_sd","cv_articulated_var","cv_brown_algae_avg","cv_brown_algae_sd","cv_brown_algae_var","cv_crustose_avg","cv_crustose_sd","cv_crustose_var","cv_encrusting_avg","cv_encrusting_sd","cv_encrusting_var","cv_green_algae_avg","cv_green_algae_sd","cv_green_algae_var","cv_holdfast_avg","cv_holdfast_sd","cv_holdfast_var","cv_none_avg","cv_none_sd","cv_none_var","cv_red_algae_avg","cv_red_algae_sd","cv_red_algae_var","cv_seagrass_avg","cv_seagrass_sd","cv_seagrass_var","cv_sessile_inverts_avg","cv_sessile_inverts_sd","cv_sessile_inverts_var","rf_0-10cm_avg","rf_0-10cm_sd","rf_0-10cm_var","rf_10cm-1m_avg","rf_10cm-1m_sd","rf_10cm-1m_var","rf_1m-2m_avg","rf_1m-2m_sd","rf_1m-2m_var","rf_over_2m_avg","rf_over_2m_sd","rf_over_2m_var","sb_boulder_avg","sb_boulder_sd","sb_boulder_var","sb_clay-wa_avg","sb_clay-wa_sd","sb_clay-wa_var","sb_cobble_avg","sb_cobble_sd","sb_cobble_var","sb_cobble-wa_avg","sb_cobble-wa_sd","sb_cobble-wa_var","sb_l_boulder-wa_avg","sb_l_boulder-wa_sd","sb_l_boulder-wa_var","sb_other_avg","sb_other_sd","sb_other_var","sb_pebble-wa_avg","sb_pebble-wa_sd","sb_pebble-wa_var","sb_reef_avg","sb_reef_sd","sb_reef_var","sb_rock_avg","sb_rock_sd","sb_rock_var","sb_s_boulder-wa_avg","sb_s_boulder-wa_sd","sb_s_boulder-wa_var","sb_sand_avg","sb_sand_sd","sb_sand_var","sb_shell_hash-wa_avg","sb_shell_hash-wa_sd","sb_shell_hash-wa_var","sp_acid_weed_avg","sp_acid_weed_sd","sp_acid_weed_var","sp_brown_algae_avg","sp_brown_algae_sd","sp_brown_algae_var","sp_green_algae_avg","sp_green_algae_sd","sp_green_algae_var","sp_mobile_inverts_avg","sp_mobile_inverts_sd","sp_mobile_inverts_var","sp_red_algae_avg","sp_red_algae_sd","sp_red_algae_var"
"Hood_Canal",3,2022,3,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.43,0.19,0.24,0.22,0.05,0,0,0,0,0,0,0,0.01,0,0.07,0.12,0.01,0,0,0,0,0,0,0,0,0,0.08,0.09,0.01,0.08,0.09,0.01,0.19,0.08,0.01,0,0,0,0.02,0.03,0,0.44,0.24,0.06,0.12,0.09,0.01,0,0,0,0.07,0.04,0,0.05,0.08,0.01,0.78,0.13,0.02,0.16,0.15,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.19,0.13,0.02,0.04,0.03,0,0,0,0,0.1,0.07,0,0.2,0.04,0,0.06,0.02,0,0.12,0.06,0,0.09,0.12,0.01,0.21,0.2,0.04,0,0,0,0.12,0.07,0,0.04,0.04,0,0,0,0,0.04,0.03,0
"Hood_Canal",3,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0.38,0.14,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.28,0.17,0.03,0.04,0.05,0,0.25,0.07,0,0,0,0,0,0,0,0.33,0.13,0.02,0.06,0.04,0,0,0,0,0.03,0.02,0,0.03,0.05,0,0.87,0.01,0,0.07,0.05,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0.18,0.14,0.02,0.06,0.08,0.01,0,0,0,0.12,0.08,0.01,0.24,0.15,0.02,0.07,0.05,0,0.07,0.07,0,0.15,0.02,0,0.11,0.14,0.02,0,0,0,0.17,0.08,0.01,0.01,0.02,0,0.01,0.01,0,0.02,0,0
"Hood_Canal",3,2024,3,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0.38,0.14,0.08,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.14,0.02,0.07,0.09,0.01,0.32,0.08,0.01,0,0,0,0.02,0,0,0.34,0.07,0,0.08,0.07,0,0,0,0,0.05,0.03,0,0,0,0,0.71,0.19,0.04,0.2,0.06,0,0.1,0.13,0.02,0,0,0,0,0,0,0,0,0,0.13,0.1,0.01,0.03,0.04,0,0,0,0,0.05,0.05,0,0.42,0.23,0.05,0.08,0.06,0,0.09,0.07,0.01,0.1,0.02,0,0.09,0.11,0.01,0,0,0,0.24,0.09,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0
"Hood_Canal",3,2025,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0.75,0.56,0.05,0.07,0.01,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0.16,0.12,0.01,0.09,0.11,0.01,0.2,0.06,0,0.02,0.04,0,0.01,0.02,0,0.37,0.06,0,0.12,0.04,0,0,0,0,0.03,0.02,0,0,0,0,0.83,0.03,0,0.15,0.01,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0.16,0.09,0.01,0.06,0.05,0,0,0,0,0.08,0.06,0,0.26,0.05,0,0.09,0.09,0.01,0.1,0.08,0.01,0.19,0.05,0,0.07,0.04,0,0,0,0,0.26,0.14,0.02,0,0,0,0.01,0.01,0,0.01,0.01,0
"Northern_Coast",4,2024,2,0,0,0,0,0,0,0.12,0.15,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0,0,0,0.74,0.5,0.25,0,0.01,0,0,0,0,0.2,0.2,0.04,0,0,0,0.02,0.03,0,0.07,0,0,0.22,0.09,0.01,0.13,0.01,0,0,0,0,0.01,0.01,0,0.12,0.12,0.01,0.33,0.19,0.04,0,0,0,0.08,0.01,0,0,0.01,0,0.52,0.08,0.01,0.24,0.12,0.01,0.23,0.2,0.04,0.18,0.06,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.04,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Admiralty_Inlet",5,2022,1,0.34,NA,NA,0.06,NA,NA,0.34,NA,NA,0,NA,NA,0.05,NA,NA,0,NA,NA,0.04,NA,NA,0.36,NA,NA,0,NA,NA,0,NA,NA,0.02,NA,NA,0.14,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.02,NA,NA,0.01,NA,NA,0,NA,NA,0.06,NA,NA,0.66,NA,NA,0.17,NA,NA,0,NA,NA,0.07,NA,NA,0.66,NA,NA,0.33,NA,NA,0.01,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.03,NA,NA,0.03,NA,NA,0,NA,NA,0.12,NA,NA,0.03,NA,NA,0.19,NA,NA,0.05,NA,NA,0.38,NA,NA,0.16,NA,NA,0,NA,NA,0.23,NA,NA,0.11,NA,NA,0.02,NA,NA,0.28,NA,NA
"Admiralty_Inlet",5,2023,2,0.14,0.17,0.03,0,0,0,0.03,0.01,0,0,0,0,0.21,0.13,0.02,0,0,0,0.26,0.13,0.02,1.31,1.21,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0,0,0,0.08,0.11,0.01,0.1,0.08,0.01,0.03,0,0,0.03,0.04,0,0.01,0.01,0,0.01,0.01,0,0.6,0.04,0,0.13,0.08,0.01,0,0,0,0,0,0,0.79,0.05,0,0.21,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0,0,0,0,0,0,0,0.08,0.04,0,0,0,0,0.06,0.04,0,0.03,0.01,0,0.62,0.08,0.01,0.16,0.08,0.01,0,0,0,0.32,0.2,0.04,0.01,0.01,0,0,0.01,0,0.12,0.07,0.01
"Admiralty_Inlet",5,2024,2,0.09,0.11,0.01,0,0,0,0.13,0.06,0,0,0,0,0.2,0.12,0.01,0,0,0,0.39,0.45,0.2,2.31,2.8,7.84,0,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0.1,0.01,0,0,0,0,0,0,0.12,0.08,0.01,0.06,0.03,0,0.08,0.09,0.01,0,0,0,0.03,0.04,0,0.58,0.01,0,0.07,0.01,0,0,0,0,0.06,0.08,0.01,0.62,0.06,0,0.38,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.08,0.01,0.02,0.01,0,0,0,0,0.13,0.03,0,0,0.01,0,0.09,0.1,0.01,0.06,0.01,0,0.31,0.07,0,0.26,0.14,0.02,0,0,0,0.16,0.11,0.01,0,0.01,0,0.01,0.01,0,0.17,0.09,0.01
"Admiralty_Inlet",5,2025,2,0.09,0.11,0.01,0,0.01,0,0.14,0.05,0,0,0,0,0.16,0.02,0,0,0,0,0.26,0.33,0.11,0.98,0.76,0.57,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.05,0.07,0.01,0,0,0,0,0,0,0.04,0.05,0,0.04,0.02,0,0.02,0.03,0,0,0.01,0,0.04,0,0,0.64,0.05,0,0.22,0.05,0,0,0,0,0,0,0,0.2,0.16,0.02,0.76,0.11,0.01,0.04,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0.03,0,0,0,0,0,0.11,0.03,0,0.03,0.04,0,0.01,0.01,0,0.05,0.04,0,0.44,0.28,0.08,0.33,0.35,0.12,0,0,0,0.28,0.16,0.02,0.01,0.02,0,0,0,0,0.12,0,0
"Saratoga/Whidbey_Basin",6,2021,1,0,NA,NA,0,NA,NA,0.39,NA,NA,0,NA,NA,0.05,NA,NA,0,NA,NA,0,NA,NA,2.28,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.1,NA,NA,0.24,NA,NA,0,NA,NA,0.03,NA,NA,0.6,NA,NA,0.02,NA,NA,0,NA,NA,0.01,NA,NA,0.76,NA,NA,0.22,NA,NA,0.01,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.45,NA,NA,0.02,NA,NA,0,NA,NA,0.05,NA,NA,0.03,NA,NA,0.08,NA,NA,0.03,NA,NA,0.33,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"Saratoga/Whidbey_Basin",6,2022,2,0,0,0,0,0,0,0.2,0.2,0.04,0,0,0,0.07,0.06,0,0,0,0,0.04,0.06,0,1.64,0.35,0.12,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.03,0.01,0,0.06,0.01,0,0,0,0,0.01,0.01,0,0.73,0.03,0,0.03,0.01,0,0,0,0,0.11,0.04,0,0.71,0.14,0.02,0.29,0.15,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.05,0,0.01,0.01,0,0,0,0,0.16,0.11,0.01,0.01,0.02,0,0.06,0.02,0,0.06,0.01,0,0.42,0.06,0,0.22,0.11,0.01,0,0,0,0.18,0.03,0,0,0,0,0,0.01,0,0.06,0.05,0
"Saratoga/Whidbey_Basin",6,2023,2,0,0.01,0,0,0,0,0.6,0.29,0.08,0,0,0,0.07,0.11,0.01,0,0,0,0.02,0.03,0,1.49,0.78,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0.01,0,0.1,0.05,0,0,0.01,0,0.01,0.01,0,0.82,0.06,0,0,0,0,0,0,0,0.01,0.01,0,0.58,0.18,0.03,0.41,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0,0.03,0.01,0,0,0,0,0.14,0.06,0,0.03,0.01,0,0.06,0.02,0,0.03,0.04,0,0.47,0.24,0.06,0.16,0.18,0.03,0,0,0,0.24,0.02,0,0.03,0.01,0,0,0.01,0,0.04,0.06,0
"Saratoga/Whidbey_Basin",6,2024,2,0.01,0,0,0,0,0,1.49,0.54,0.3,0,0,0,0.17,0.16,0.02,0,0,0,0,0,0,1.9,0.46,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.08,0.01,0,0.05,0.07,0.01,0.01,0.01,0,0.01,0.01,0,0.71,0.08,0.01,0.04,0.05,0,0,0,0,0.08,0.04,0,0.44,0.12,0.01,0.56,0.11,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.08,0.01,0.03,0.01,0,0,0,0,0.17,0.13,0.02,0.02,0.03,0,0.08,0.04,0,0.03,0.01,0,0.4,0.16,0.02,0.16,0.13,0.02,0,0,0,0.17,0.03,0,0.01,0.01,0,0.01,0,0,0.04,0.01,0
"Saratoga/Whidbey_Basin",6,2025,2,0,0,0,0,0,0,1.38,0.19,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,1.21,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0.01,0,0.07,0.02,0,0.03,0.01,0,0.02,0.03,0,0.74,0.01,0,0.04,0.06,0,0,0,0,0.07,0.01,0,0.32,0.11,0.01,0.68,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0,0.01,0.02,0,0,0,0,0.16,0.16,0.03,0.01,0.02,0,0.09,0.08,0.01,0.05,0.04,0,0.3,0.22,0.05,0.26,0.17,0.03,0,0,0,0.21,0.01,0,0.02,0.03,0,0.01,0.01,0,0.04,0,0
"Eastern_Strait_of_Juan_de_Fuca",7,2021,2,0.12,0.09,0.01,0.17,0.24,0.06,0.97,0.3,0.09,0,0,0,0.94,1.15,1.31,0,0,0,0,0.01,0,1.35,0.48,0.23,0.79,0.08,0.01,0.21,0.3,0.09,0.04,0.06,0,0,0,0,3.18,2.23,4.99,0,0,0,0,0,0,0.01,0.01,0,0.2,0.1,0.01,0.15,0.02,0,0,0,0,0.07,0.05,0,0.5,0.04,0,0.04,0,0,0,0,0,0.03,0.01,0,0.34,0.05,0,0.63,0.01,0,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.02,0,0.06,0.01,0,0,0,0,0.24,0.01,0,0.28,0.37,0.14,0,0,0,0.15,0.16,0.02,0.19,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
