"key","basin","basin_id","site","site_id","transect","depth_zone","latitude","longitude","year","date","depth_ft","acid_weed","broad-ribbed_kelp","bull_kelp","five-ribbed_kelp","sieve_kelp","sugar_kelp","three-ribbed_kelp","torn_kelp","winged_kelp","wire_weed","woody_kelp","giant_kelp_n","giant_kelp_stipe","feather_boa_n","feather_boa_stipe"
"1_1_5_23","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2023,"8/25/2023",5.5,0,0,0,0,3,2,0,0,0,13,0,0,0,0,0
"1_1_6_23","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2023,"8/25/2023",4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"1_1_1_24","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2024,"9/22/2024",10.5,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"1_1_2_24","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2024,"9/22/2024",11.5,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"1_1_3_24","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2024,"9/22/2024",14.5,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"1_1_4_24","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2024,"9/22/2024",12.5,45,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"1_1_5_24","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2024,"9/22/2024",10,16,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"1_1_6_24","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2024,"9/22/2024",9,10,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"1_1_1_25","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2025,"8/30/2025",9.5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1_1_2_25","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2025,"8/30/2025",9,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1_1_3_25","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2025,"8/30/2025",5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1_1_4_25","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2025,"8/30/2025",8,27,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"1_1_5_25","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2025,"8/30/2025",4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1_1_6_25","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2025,"8/30/2025",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_1_22","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2022,"9/18/2022",12,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0
"1_2_2_22","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2022,"9/18/2022",12,6,0,0,2,0,127,0,0,0,0,0,0,0,0,0
"1_2_3_22","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2022,"9/18/2022",11.5,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"1_2_4_22","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2022,"9/18/2022",10.5,1,0,0,0,1,150,0,0,0,0,0,0,0,0,0
"1_2_5_22","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2022,"9/18/2022",16.5,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0
"1_2_6_22","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2022,"9/18/2022",8,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0
"1_2_1_23","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2023,"8/25/2023",12,5,0,0,3,0,123,0,0,0,0,0,0,0,0,0
"1_2_2_23","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2023,"8/25/2023",18.5,5,0,0,10,0,108,0,0,0,0,0,0,0,0,0
"1_2_3_23","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2023,"8/25/2023",18,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
"1_2_4_23","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2023,"8/25/2023",6.5,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0
"1_2_5_23","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2023,"8/25/2023",4,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"1_2_6_23","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2023,"8/25/2023",5.5,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0
"1_2_1_24","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2024,"8/25/2024",14.5,0,0,0,2,0,74,0,0,0,0,0,0,0,0,0
"1_2_2_24","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2024,"8/25/2024",13,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
"1_2_3_24","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2024,"8/25/2024",15,1,0,0,1,1,78,0,0,0,0,0,0,0,0,0
"1_2_4_24","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2024,"8/25/2024",5.5,0,0,0,1,0,117,0,0,0,0,0,0,0,0,0
"1_2_5_24","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2024,"8/25/2024",3,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
"1_2_6_24","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2024,"8/25/2024",6.5,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0
"1_2_1_25","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2025,"8/31/2025",13.5,10,0,0,12,0,141,0,0,0,0,0,0,0,0,0
"1_2_2_25","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2025,"8/31/2025",18,11,0,0,5,0,234,0,0,0,0,0,0,0,0,0
"1_2_3_25","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2025,"8/31/2025",14,3,0,0,12,0,342,0,0,0,0,0,0,0,0,0
"1_2_4_25","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2025,"8/31/2025",3.5,2,0,0,0,0,218,0,0,0,0,0,0,0,0,0
"1_2_5_25","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2025,"8/31/2025",3.5,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
"1_2_6_25","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2025,"8/31/2025",3.5,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0
"1_3_1_21","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2021,"7/7/2021",8,4,0,24,2,0,177,0,0,0,2,0,0,0,0,0
"1_3_2_21","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2021,"7/7/2021",8,8,0,20,2,0,385,0,0,0,6,0,0,0,0,0
"1_3_3_21","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2021,"7/7/2021",8,8,0,0,0,0,12,0,0,0,68,0,0,0,0,0
"1_3_4_21","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2021,"7/7/2021",13,2,0,0,0,0,166,0,0,4,2,0,0,0,0,0
"1_3_5_21","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2021,"7/7/2021",13,42,0,0,96,0,290,0,0,0,4,0,0,0,0,0
"1_3_6_21","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2021,"7/7/2021",11,32,0,0,52,0,247,0,0,0,0,0,0,0,0,0
"1_3_1_22","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2022,"7/7/2022",6,81,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1_3_2_22","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2022,"7/7/2022",5.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_3_22","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2022,"7/7/2022",5,24,0,2,5,0,2,0,0,0,4,0,0,0,0,0
"1_3_4_22","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2022,"7/7/2022",10,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1_3_5_22","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2022,"7/7/2022",16,78,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"1_3_6_22","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2022,"7/7/2022",10,43,0,0,23,0,9,0,0,0,0,0,0,0,0,0
"1_3_1_23","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2023,"7/11/2023",8.5,59,0,7,0,0,71,0,0,0,0,0,0,0,0,0
"1_3_2_23","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2023,"7/11/2023",8.5,44,0,0,0,0,75,0,0,0,0,0,0,0,0,0
"1_3_3_23","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2023,"7/11/2023",5.5,3,0,0,0,0,14,0,0,0,20,0,0,0,0,0
"1_3_4_23","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2023,"7/11/2023",12.5,57,0,0,0,0,125,0,0,0,6,0,0,0,0,0
"1_3_5_23","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2023,"7/11/2023",15.5,129,0,1,0,0,214,0,0,0,0,0,0,0,0,0
"1_3_6_23","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2023,"7/11/2023",13,197,0,0,0,0,116,0,0,0,0,0,0,0,0,0
"1_3_1_24","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2024,"7/16/2024",4.5,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_2_24","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2024,"7/16/2024",7,96,0,0,0,0,113,0,0,0,0,0,0,0,0,0
"1_3_3_24","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2024,"7/16/2024",6,37,0,0,0,0,26,0,0,0,23,0,0,0,0,0
"1_3_4_24","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2024,"7/16/2024",10.5,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_5_24","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2024,"7/16/2024",11.5,189,0,0,6,0,116,0,0,0,0,0,0,0,0,0
"1_3_6_24","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2024,"7/16/2024",12,468,0,0,15,0,210,0,0,0,0,0,0,0,0,0
"1_3_1_25","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2025,"7/15/2025",7.5,503,0,0,0,0,0,0,0,0,63,0,0,0,0,0
"1_3_2_25","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2025,"7/15/2025",8.5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_3_25","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2025,"7/15/2025",10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_4_25","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2025,"7/15/2025",4,414,0,0,0,0,0,0,0,0,720,0,0,0,0,0
"1_3_5_25","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2025,"7/15/2025",2.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_6_25","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2025,"7/15/2025",2,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_4_1_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,1,"offshore",47.228194,-122.589757,2023,"8/27/2023",22.5,9,0,0,3,226,44,0,0,0,0,0,0,0,0,0
"1_4_2_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,2,"offshore",47.228194,-122.589757,2023,"8/27/2023",28.5,17,0,0,5,143,40,0,0,0,0,0,0,0,0,0
"1_4_3_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,3,"offshore",47.228194,-122.589757,2023,"8/27/2023",26,17,0,0,1,91,40,0,0,0,0,0,0,0,0,0
"1_4_4_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,4,"inshore",47.228194,-122.589757,2023,"8/27/2023",12.5,41,0,0,2,139,53,0,0,0,0,0,0,0,0,0
"1_4_5_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,5,"inshore",47.228194,-122.589757,2023,"8/27/2023",12.5,7,0,0,0,456,10,0,0,0,0,0,0,0,0,0
"1_4_6_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,6,"inshore",47.228194,-122.589757,2023,"8/27/2023",12.5,69,0,0,0,384,65,0,0,0,0,0,0,0,0,0
"1_4_1_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,1,"offshore",47.228194,-122.589757,2024,"8/11/2024",25.5,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
"1_4_2_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,2,"offshore",47.228194,-122.589757,2024,"8/11/2024",25,14,0,0,0,91,20,0,0,0,0,0,0,0,0,0
"1_4_3_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,3,"offshore",47.228194,-122.589757,2024,"8/11/2024",24,13,0,0,0,290,3,0,0,0,0,0,0,0,0,0
"1_4_4_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,4,"inshore",47.228194,-122.589757,2024,"8/11/2024",7,14,0,0,0,148,8,0,0,0,0,0,0,0,0,0
"1_4_5_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,5,"inshore",47.228194,-122.589757,2024,"8/11/2024",5,40,0,0,0,200,32,0,0,0,0,0,0,0,0,0
"1_4_6_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,6,"inshore",47.228194,-122.589757,2024,"8/11/2024",9,101,0,0,0,462,36,0,0,0,0,0,0,0,0,0
"1_4_1_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,1,"offshore",47.228194,-122.589757,2025,"8/31/2025",12.5,1,0,0,0,564,6,0,0,0,0,0,0,0,0,0
"1_4_2_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,2,"offshore",47.228194,-122.589757,2025,"8/31/2025",18.5,2,0,0,4,360,0,0,0,0,0,0,0,0,0,0
"1_4_3_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,3,"offshore",47.228194,-122.589757,2025,"8/31/2025",16,14,0,0,11,252,41,0,0,0,2,0,0,0,0,0
"1_4_4_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,4,"inshore",47.228194,-122.589757,2025,"8/31/2025",5,16,0,0,15,48,93,0,0,0,10,0,0,0,0,0
"1_4_5_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,5,"inshore",47.228194,-122.589757,2025,"8/31/2025",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_4_6_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,6,"inshore",47.228194,-122.589757,2025,"8/31/2025",5,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0
"1_5_1_23","South_Puget_Sound",1,"Titlow_Beach",5,1,"offshore",47.246982,-122.555038,2023,"7/23/2023",26,24,0,11,20,99,243,0,0,0,0,0,0,0,0,0
"1_5_2_23","South_Puget_Sound",1,"Titlow_Beach",5,2,"offshore",47.246982,-122.555038,2023,"7/23/2023",26,43,0,12,28,18,173,0,0,0,0,0,0,0,0,0
"1_5_3_23","South_Puget_Sound",1,"Titlow_Beach",5,3,"offshore",47.246982,-122.555038,2023,"7/23/2023",26.5,45,0,14,15,50,59,0,0,0,0,0,0,0,0,0
"1_5_4_23","South_Puget_Sound",1,"Titlow_Beach",5,4,"inshore",47.246982,-122.555038,2023,"7/23/2023",15,0,0,3,8,5,27,0,0,1,14,0,0,0,0,0
"1_5_5_23","South_Puget_Sound",1,"Titlow_Beach",5,5,"inshore",47.246982,-122.555038,2023,"7/23/2023",17.5,20,0,19,60,27,660,0,0,0,6,0,0,0,0,0
"1_5_6_23","South_Puget_Sound",1,"Titlow_Beach",5,6,"inshore",47.246982,-122.555038,2023,"7/23/2023",12,3,0,20,16,0,121,0,0,0,19,0,0,0,0,0
"1_5_1_24","South_Puget_Sound",1,"Titlow_Beach",5,1,"offshore",47.246982,-122.555038,2024,"7/11/2024",28,19,0,5,42,1,69,0,0,0,0,5,0,0,0,0
"1_5_2_24","South_Puget_Sound",1,"Titlow_Beach",5,2,"offshore",47.246982,-122.555038,2024,"7/11/2024",27,43,0,14,17,3,74,0,0,0,0,2,0,0,0,0
"1_5_3_24","South_Puget_Sound",1,"Titlow_Beach",5,3,"offshore",47.246982,-122.555038,2024,"7/11/2024",34.5,32,0,10,40,2,83,1,0,0,0,2,0,0,0,0
"1_5_4_24","South_Puget_Sound",1,"Titlow_Beach",5,4,"inshore",47.246982,-122.555038,2024,"7/11/2024",19,18,0,3,7,37,330,0,0,0,1,0,0,0,0,0
"1_5_5_24","South_Puget_Sound",1,"Titlow_Beach",5,5,"inshore",47.246982,-122.555038,2024,"7/11/2024",14,55,16,2,5,2,71,0,0,0,2,0,0,0,0,0
"1_5_6_24","South_Puget_Sound",1,"Titlow_Beach",5,6,"inshore",47.246982,-122.555038,2024,"7/11/2024",11,1,0,35,229,0,275,0,0,0,5,0,0,0,0,0
"1_5_1_25","South_Puget_Sound",1,"Titlow_Beach",5,1,"offshore",47.246982,-122.555038,2025,"6/21/2025",42,3,5,3,4,4,4,0,0,0,0,0,0,0,0,0
"1_5_2_25","South_Puget_Sound",1,"Titlow_Beach",5,2,"offshore",47.246982,-122.555038,2025,"6/21/2025",35,21,28,12,32,6,13,0,0,0,0,2,0,0,0,0
"1_5_3_25","South_Puget_Sound",1,"Titlow_Beach",5,3,"offshore",47.246982,-122.555038,2025,"6/21/2025",29.5,16,13,15,28,13,42,0,0,0,3,6,0,0,0,0
"1_5_4_25","South_Puget_Sound",1,"Titlow_Beach",5,4,"inshore",47.246982,-122.555038,2025,"6/21/2025",16,43,37,15,26,7,216,0,0,0,11,0,0,0,0,0
"1_5_5_25","South_Puget_Sound",1,"Titlow_Beach",5,5,"inshore",47.246982,-122.555038,2025,"6/21/2025",11,25,0,3,8,0,83,0,0,0,20,0,0,0,0,0
"1_5_6_25","South_Puget_Sound",1,"Titlow_Beach",5,6,"inshore",47.246982,-122.555038,2025,"6/21/2025",12,63,0,4,8,0,300,0,0,0,16,0,0,0,0,0
"2_6_1_23","Central_Puget_Sound",2,"Salmon_Beach",6,1,"offshore",47.296017,-122.53165,2023,"8/8/2023",9,134,0,394,474,4,339,0,0,0,9,0,0,0,0,0
"2_6_2_23","Central_Puget_Sound",2,"Salmon_Beach",6,2,"offshore",47.296017,-122.53165,2023,"8/8/2023",10,185,0,386,61,0,147,0,0,0,4,1,0,0,0,0
"2_6_3_23","Central_Puget_Sound",2,"Salmon_Beach",6,3,"offshore",47.296017,-122.53165,2023,"8/8/2023",11,94,0,240,53,0,498,0,0,0,22,1,0,0,0,0
"2_6_4_23","Central_Puget_Sound",2,"Salmon_Beach",6,4,"inshore",47.296017,-122.53165,2023,"8/8/2023",19,99,0,584,202,0,28,0,0,0,0,56,0,0,0,0
"2_6_5_23","Central_Puget_Sound",2,"Salmon_Beach",6,5,"inshore",47.296017,-122.53165,2023,"8/8/2023",23,180,0,128,141,0,2,0,0,0,0,59,0,0,0,0
"2_6_6_23","Central_Puget_Sound",2,"Salmon_Beach",6,6,"inshore",47.296017,-122.53165,2023,"8/8/2023",19.5,27,0,372,54,0,106,0,0,0,0,29,0,0,0,0
"2_6_1_24","Central_Puget_Sound",2,"Salmon_Beach",6,1,"offshore",47.296017,-122.53165,2024,"8/14/2024",11,75,0,561,450,0,283,0,0,0,0,30,0,0,0,0
"2_6_2_24","Central_Puget_Sound",2,"Salmon_Beach",6,2,"offshore",47.296017,-122.53165,2024,"8/14/2024",12,37,0,221,155,0,139,0,0,0,0,8,0,0,0,0
"2_6_3_24","Central_Puget_Sound",2,"Salmon_Beach",6,3,"offshore",47.296017,-122.53165,2024,"8/14/2024",12.5,48,0,126,42,0,245,0,0,0,0,5,0,0,0,0
"2_6_4_24","Central_Puget_Sound",2,"Salmon_Beach",6,4,"inshore",47.296017,-122.53165,2024,"8/14/2024",18,16,0,225,24,0,48,0,0,0,0,383,0,0,0,0
"2_6_5_24","Central_Puget_Sound",2,"Salmon_Beach",6,5,"inshore",47.296017,-122.53165,2024,"8/14/2024",18.5,42,0,89,50,0,24,0,0,0,0,174,0,0,0,0
"2_6_6_24","Central_Puget_Sound",2,"Salmon_Beach",6,6,"inshore",47.296017,-122.53165,2024,"8/14/2024",17,107,0,529,59,0,161,0,0,0,0,51,0,0,0,0
"2_6_1_25","Central_Puget_Sound",2,"Salmon_Beach",6,1,"offshore",47.296017,-122.53165,2025,"8/20/2025",12.5,148,0,86,83,2,92,0,0,0,0,576,0,0,0,0
"2_6_2_25","Central_Puget_Sound",2,"Salmon_Beach",6,2,"offshore",47.296017,-122.53165,2025,"8/20/2025",12,205,0,433,232,0,367,0,0,0,3,241,0,0,0,0
"2_6_3_25","Central_Puget_Sound",2,"Salmon_Beach",6,3,"offshore",47.296017,-122.53165,2025,"8/20/2025",12,186,0,672,360,0,474,0,0,0,12,92,0,0,0,0
"2_6_4_25","Central_Puget_Sound",2,"Salmon_Beach",6,4,"inshore",47.296017,-122.53165,2025,"8/20/2025",18,17,0,22,119,0,44,0,0,0,0,324,0,0,0,0
"2_6_5_25","Central_Puget_Sound",2,"Salmon_Beach",6,5,"inshore",47.296017,-122.53165,2025,"8/20/2025",21.5,5,0,27,67,1,38,0,0,0,0,408,0,0,0,0
"2_6_6_25","Central_Puget_Sound",2,"Salmon_Beach",6,6,"inshore",47.296017,-122.53165,2025,"8/20/2025",18.5,110,0,57,40,2,242,0,0,0,0,159,0,0,0,0
"2_7_1_23","Central_Puget_Sound",2,"Owen_Beach",7,1,"offshore",47.31752,-122.53389,2023,"7/10/2023",26,27,23,7,42,0,4,0,0,1,44,257,0,0,0,0
"2_7_2_23","Central_Puget_Sound",2,"Owen_Beach",7,2,"offshore",47.31752,-122.53389,2023,"7/10/2023",33,2,17,1,21,0,7,0,1,0,6,3,0,0,0,0
"2_7_3_23","Central_Puget_Sound",2,"Owen_Beach",7,3,"offshore",47.31752,-122.53389,2023,"7/10/2023",25.5,17,14,2,0,0,4,0,0,0,6,11,0,0,0,0
"2_7_4_23","Central_Puget_Sound",2,"Owen_Beach",7,4,"inshore",47.31752,-122.53389,2023,"7/10/2023",11.5,11,0,0,1,0,37,0,0,0,6,9,0,0,0,0
"2_7_5_23","Central_Puget_Sound",2,"Owen_Beach",7,5,"inshore",47.31752,-122.53389,2023,"7/10/2023",9.5,13,4,9,9,0,56,0,0,0,9,49,0,0,0,0
"2_7_6_23","Central_Puget_Sound",2,"Owen_Beach",7,6,"inshore",47.31752,-122.53389,2023,"7/10/2023",7,0,0,3,1,0,39,0,0,0,2,0,0,0,0,0
"2_7_1_24","Central_Puget_Sound",2,"Owen_Beach",7,1,"offshore",47.31752,-122.53389,2024,"6/11/2024",36,1,0,0,1,0,18,0,0,0,0,7,0,0,0,0
"2_7_2_24","Central_Puget_Sound",2,"Owen_Beach",7,2,"offshore",47.31752,-122.53389,2024,"6/11/2024",41,2,0,5,2,0,84,0,0,0,2,55,0,0,0,0
"2_7_3_24","Central_Puget_Sound",2,"Owen_Beach",7,3,"offshore",47.31752,-122.53389,2024,"6/11/2024",32,2,0,0,4,0,29,0,0,0,0,17,0,0,0,0
"2_7_4_24","Central_Puget_Sound",2,"Owen_Beach",7,4,"inshore",47.31752,-122.53389,2024,"6/11/2024",15.5,8,0,32,55,0,51,0,0,0,1,75,0,0,0,0
"2_7_5_24","Central_Puget_Sound",2,"Owen_Beach",7,5,"inshore",47.31752,-122.53389,2024,"6/11/2024",13,15,0,32,54,0,203,0,0,0,0,52,0,0,0,0
