"key","basin","basin_id","site","site_id","transect","depth_zone","latitude","longitude","year","date","depth_ft","ak_acid_weed","ak_broad-ribbed_kelp","ak_bull_kelp","ak_feather_boa_n","ak_feather_boa_stipe","ak_five-ribbed_kelp","ak_giant_kelp_n","ak_giant_kelp_stipe","ak_sieve_kelp","ak_sugar_kelp","ak_three-ribbed_kelp","ak_torn_kelp","ak_winged_kelp","ak_wire_weed","ak_woody_kelp","cv_acid_weed","cv_articulated","cv_brown_algae","cv_crustose","cv_encrusting","cv_green_algae","cv_holdfast","cv_none","cv_red_algae","cv_seagrass","cv_sessile_inverts","mobile_invertebrates","rf_0-10cm","rf_10cm-1m","rf_1m-2m","rf_over_2m","sb_boulder","sb_clay-wa","sb_cobble","sb_cobble-wa","sb_l_boulder-wa","sb_other","sb_pebble-wa","sb_reef","sb_rock","sb_s_boulder-wa","sb_sand","sb_shell_hash-wa","sp_acid_weed","sp_brown_algae","sp_green_algae","sp_mobile_inverts","sp_red_algae","iv_bat_star","iv_blood_star","iv_blue_striped_sun_star","iv_california_sea_cucumber","iv_dawsons_sun_star","iv_dungeness_crab","iv_flat_abalone","iv_giant_pacific_octopus","iv_giant_spined_star","iv_green_crab","iv_green_pallid_urchin","iv_gumboot_chiton","iv_hairy_triton","iv_kelp_crab","iv_kelp_crab_juv","iv_large_anemone","iv_leather_star","iv_masking_crab","iv_mottled_star","iv_ochre_star","iv_orange_cucumber","iv_piddock_clam","iv_pinto_abalone","iv_plumose_anemone","iv_purple_urchin","iv_rainbow_star","iv_red_abalone","iv_red_urchin","iv_rock_crab","iv_rock_scallop","iv_short_spined_star","iv_slender_crab","iv_sunflower_star","fs_black_and_yellow_rockfish","fs_black_rockfish","fs_black_yellowtail_yoy","fs_blue_deacon_yoy","fs_blue_rockfish","fs_bocaccio_yoy","fs_brown_copper_quillback_yoy","fs_brown_rockfish","fs_buffalo_sculpin","fs_cabezon","fs_canary_rockfish","fs_canary_yoy","fs_china_rockfish","fs_copper_rockfish","fs_deacon_rockfish","fs_forage_fish","fs_gopher_rockfish","fs_grass_rockfish","fs_kelp_greenling","fs_kelp_perch","fs_lingcod","fs_pile_perch","fs_puget_sound_rockfish","fs_puget_sound_yoy","fs_quillback_rockfish","fs_red_irish_lord","fs_shiner_perch","fs_spiny_dogfish","fs_spotted_ratfish","fs_striped_perch","fs_vermilion_rockfish","fs_vermillion_yoy","fs_whitespotted_greenling","fs_wolf_eel","fs_yelloweye_rockfish","fs_yelloweye_yoy","fs_yellowtail_rockfish","fs_yoy_rockfish"
"1_1_5_24","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2024,2024-09-22,10,16,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0.07,0,0,0,0,0.93,0,0,0,0,1,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.93,0,0,0.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_6_24","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2024,2024-09-22,9,10,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_1_23","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2023,2023-08-25,15,22,0,0,0,0,10,0,0,0,63,0,0,0,0,0,0,0.07,0,0,0,0,0,0.83,0.03,0,0.07,0,1,0,0,0,0,0,0,0.07,0,0,0,0,0.07,0,0.87,0,0,0.1,0.03,0,0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_2_23","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2023,2023-08-25,14.5,125,0,0,0,0,2,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"1_1_3_23","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2023,2023-08-25,12.5,34,0,0,0,0,14,0,0,0,42,0,0,0,0,0,0,0,0.03,0,0,0,0,0.97,0,0,0,0,0.93,0.07,0,0,0,0,0,0.03,0,0,0,0,0,0,0.97,0,0,0.53,0.1,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"1_1_4_23","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2023,2023-08-25,10.5,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0.03,0,0,0,0,0,0.93,0.03,0,0,0,1,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.97,0,0,0.1,0.17,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_5_23","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2023,2023-08-25,5.5,0,0,0,0,0,0,0,0,3,2,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.43,0,0,0.03,0,0.07,0,0.47,0,0,0.17,0.17,0.03,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_6_23","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2023,2023-08-25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0.77,0,0,0.23,0,0.93,0.07,0,0,0,0,0,0.27,0,0,0.07,0,0.13,0,0.5,0.03,0,0.03,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_1_22","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2022,2022-09-17,3.5,0,0,0,0,0,0,0,0,0,14,0,0,0,25,0,0,0,0.03,0.1,0,0.33,0.03,0.3,0.17,0,0.03,0,0.8,0.2,0,0,0,0,0,0.27,0,0,0.07,0,0.27,0.07,0.33,0,0,0.03,0.23,0,0.23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_2_22","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2022,2022-09-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.33,0,0.43,0.1,0,0.1,0,0.67,0.33,0,0,0,0,0,0.3,0,0,0.07,0.03,0.1,0.1,0.37,0.03,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_3_22","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2022,2022-09-17,3.5,13,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,0,0.27,0.17,0,0.03,0,0.3,0,0.03,0.2,0,0.6,0.4,0,0,0,0,0,0.4,0,0,0,0,0.1,0.03,0.47,0,0,0,0.5,0,0.1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"1_1_4_22","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2022,2022-09-17,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0.2,0.03,0.1,0,0,0.33,0,0.03,0.3,0,0.67,0.33,0,0,0,0,0,0.43,0.03,0,0.1,0,0.1,0.03,0.23,0.07,0,0.07,0.43,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_5_22","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2022,2022-09-17,1,9,0,0,0,0,0,0,0,0,9,0,0,0,189,0,0,0,0.07,0,0,0,0,0.7,0.23,0,0,0,0.63,0.37,0,0,0,0,0,0,0,0,0.33,0,0.03,0,0.63,0,0,0,0.43,0,0.43,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_6_22","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2022,2022-09-17,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0.07,0,0.67,0,0,0.07,0,0.43,0.57,0,0,0,0,0,0.27,0,0,0.27,0,0.13,0,0.3,0.03,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_1_25","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2025,2025-08-31,13.5,10,0,0,0,0,12,0,0,0,141,0,0,0,0,0,0,0,0.07,0,0,0,0,0.67,0.1,0,0.17,0,0.13,0.87,0,0,0,0,0,0.27,0,0,0,0,0.07,0,0.67,0,0,0.63,0,0.07,0.07,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_2_25","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2025,2025-08-31,18,11,0,0,0,0,5,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0.03,0.07,0.6,0.23,0,0.07,0,0.5,0.5,0,0,0,0,0,0.23,0,0,0,0,0.13,0,0.63,0,0,0.73,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1_2_3_25","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2025,2025-08-31,14,3,0,0,0,0,12,0,0,0,342,0,0,0,0,0,0.03,0,0,0,0,0.07,0.1,0.47,0.27,0,0.07,0,0.7,0.3,0,0,0,0,0,0.33,0,0,0,0,0.13,0,0.53,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_4_25","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2025,2025-08-31,3.5,2,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.37,0,0.17,0,0,1,0,0,0,0,0,0.3,0.03,0,0,0,0.57,0.07,0.03,0,0,0.87,0.03,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,1,0,4,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_5_25","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2025,2025-08-31,3.5,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0.53,0,0,0,0.03,0.43,0,0,0,0,0.07,0.93,0,0,0,0,0,0.53,0,0,0.2,0,0.1,0.07,0.1,0,0,0.33,0.33,0.03,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_6_25","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2025,2025-08-31,3.5,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0.07,0,0,0,0,0.87,0.03,0,0.03,0,0,1,0,0,0,0,0,0.4,0,0,0.3,0,0.07,0,0.07,0.17,0,0.43,0.33,0.03,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_1_24","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2024,2024-08-25,14.5,0,0,0,0,0,2,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.93,0,0,0.53,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_2_24","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2024,2024-08-25,13,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0.03,0.17,0,0,0.47,0.07,0,0.27,0,0,1,0,0,0,0,0,0.73,0,0,0.1,0,0.1,0,0.07,0,0,0.3,0.37,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_3_24","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2024,2024-08-25,15,1,0,0,0,0,1,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.03,0,0.67,0,0.03,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_4_24","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2024,2024-08-25,5.5,0,0,0,0,0,1,0,0,0,117,0,0,0,0,0,0,0,0,0.03,0.2,0,0.03,0.53,0.03,0,0.17,0,0.97,0.03,0,0,0,0,0,0.73,0.03,0,0,0,0,0.1,0.13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"1_2_5_24","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2024,2024-08-25,3,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.07,0,0,0,0.73,0.27,0,0,0,0,0,0.17,0,0,0,0,0.03,0,0.8,0,0,0.5,0.07,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
