"key","basin","basin_id","site","site_id","transect","depth_zone","latitude","longitude","year","date","depth_ft","bat_star","blood_star","blue_striped_sun_star","california_sea_cucumber","dawsons_sun_star","dungeness_crab","giant_pacific_octopus","giant_spined_star","green_crab","green_pallid_urchin","gumboot_chiton","hairy_triton","kelp_crab","kelp_crab_juv","large_anemone","leather_star","mottled_star","ochre_star","orange_cucumber","piddock_clam","pinto_abalone","plumose_anemone","purple_urchin","rainbow_star","red_urchin","rock_crab","rock_scallop","short_spined_star","slender_crab","sunflower_star","flat_abalone","masking_crab","red_abalone"
"1_3_5_25","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2025,"2025-07-15",2.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,260,0,0,0,0,0,0,0,0,4,0,0,0,0
"1_3_6_25","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2025,"2025-07-15",2,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,0,6,1,1,89,0,0,0,0,0,1,2,0,11,0,0,0,0
"1_3_1_24","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2024,"2024-07-16",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,617,0,0,0,0,0,2,0,0,3,0,0,0,0
"1_3_2_24","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2024,"2024-07-16",7,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,2,1,8,267,0,0,0,0,0,2,13,0,4,0,0,0,0
"1_3_3_24","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2024,"2024-07-16",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,452,0,0,0,0,0,0,0,0,6,0,0,0,0
"1_3_4_24","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2024,"2024-07-16",10.5,0,0,0,2,0,0,0,0,0,0,0,0,6,4,2,0,16,0,2,129,0,0,0,0,0,3,4,0,16,0,0,0,0
"1_3_5_24","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2024,"2024-07-16",11.5,0,0,0,3,0,0,0,0,0,0,0,0,21,7,0,2,8,0,1,469,0,0,0,0,0,4,26,0,7,0,0,0,0
"1_3_6_24","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2024,"2024-07-16",12,0,0,0,2,0,0,0,0,0,0,0,0,67,8,2,0,11,0,7,311,0,0,0,0,0,4,3,0,4,0,0,0,0
"1_3_1_23","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2023,"2023-07-11",8.5,0,0,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0,0,187,0,0,0,0,0,4,0,0,4,0,0,0,0
"1_3_2_23","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2023,"2023-07-11",8.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,187,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_3_3_23","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2023,"2023-07-11",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,250,0,0,0,0,0,5,0,0,0,0,0,0,0
"1_3_4_23","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2023,"2023-07-11",12.5,0,0,0,3,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,114,0,0,0,0,0,4,0,0,2,0,0,0,0
"1_3_5_23","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2023,"2023-07-11",15.5,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,0,100,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_3_6_23","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2023,"2023-07-11",13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,16,0,0,426,0,0,0,0,0,1,0,0,2,0,0,0,0
"1_3_1_22","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2022,"2022-07-07",6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"1_3_2_22","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2022,"2022-07-07",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_3_3_22","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2022,"2022-07-07",5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"1_3_4_22","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2022,"2022-07-07",10,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
"1_3_5_22","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2022,"2022-07-07",16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"1_3_6_22","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2022,"2022-07-07",10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_3_1_21","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2021,"2021-07-07",8,0,0,0,2,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"1_3_2_21","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2021,"2021-07-07",8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_3_21","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2021,"2021-07-07",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_3_4_21","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2021,"2021-07-07",13,0,0,0,12,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0
"1_3_5_21","South_Puget_Sound",1,"Squaxin_Island",3,5,"inshore",47.16767,-122.895667,2021,"2021-07-07",13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_3_6_21","South_Puget_Sound",1,"Squaxin_Island",3,6,"inshore",47.16767,-122.895667,2021,"2021-07-07",11,0,0,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"1_4_1_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,1,"offshore",47.228194,-122.589757,2025,"2025-08-31",12.5,0,3,0,0,0,0,0,0,0,0,1,0,27,0,0,20,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_4_2_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,2,"offshore",47.228194,-122.589757,2025,"2025-08-31",18.5,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,9,5,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0
"1_4_3_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,3,"offshore",47.228194,-122.589757,2025,"2025-08-31",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_4_4_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,4,"inshore",47.228194,-122.589757,2025,"2025-08-31",5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,8,2,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0
"1_4_5_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,5,"inshore",47.228194,-122.589757,2025,"2025-08-31",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"1_4_6_25","South_Puget_Sound",1,"Fox_Island_East_Wall",4,6,"inshore",47.228194,-122.589757,2025,"2025-08-31",5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_4_1_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,1,"offshore",47.228194,-122.589757,2024,"2024-08-11",25.5,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,27,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
"1_4_2_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,2,"offshore",47.228194,-122.589757,2024,"2024-08-11",25,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_4_3_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,3,"offshore",47.228194,-122.589757,2024,"2024-08-11",24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_4_4_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,4,"inshore",47.228194,-122.589757,2024,"2024-08-11",7,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0,11,3,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_4_5_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,5,"inshore",47.228194,-122.589757,2024,"2024-08-11",5,0,0,0,1,0,0,0,0,0,0,0,0,13,2,0,11,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"1_4_6_24","South_Puget_Sound",1,"Fox_Island_East_Wall",4,6,"inshore",47.228194,-122.589757,2024,"2024-08-11",9,0,0,0,0,0,0,0,0,0,0,4,0,15,7,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_4_1_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,1,"offshore",47.228194,-122.589757,2023,"2023-08-27",22.5,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,12,75,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_4_2_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,2,"offshore",47.228194,-122.589757,2023,"2023-08-27",28.5,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_4_3_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,3,"offshore",47.228194,-122.589757,2023,"2023-08-27",26,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_4_4_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,4,"inshore",47.228194,-122.589757,2023,"2023-08-27",12.5,0,1,0,4,0,0,0,0,0,0,0,0,8,3,0,8,8,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0
"1_4_5_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,5,"inshore",47.228194,-122.589757,2023,"2023-08-27",12.5,0,4,0,3,0,0,0,0,0,0,3,0,10,3,0,5,22,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
"1_4_6_23","South_Puget_Sound",1,"Fox_Island_East_Wall",4,6,"inshore",47.228194,-122.589757,2023,"2023-08-27",12.5,0,0,0,3,0,0,0,0,0,0,1,0,13,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"1_5_1_25","South_Puget_Sound",1,"Titlow_Beach",5,1,"offshore",47.246982,-122.555038,2025,"2025-06-21",42,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_5_2_25","South_Puget_Sound",1,"Titlow_Beach",5,2,"offshore",47.246982,-122.555038,2025,"2025-06-21",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_5_3_25","South_Puget_Sound",1,"Titlow_Beach",5,3,"offshore",47.246982,-122.555038,2025,"2025-06-21",29.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_5_4_25","South_Puget_Sound",1,"Titlow_Beach",5,4,"inshore",47.246982,-122.555038,2025,"2025-06-21",16,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,4,11,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"1_5_5_25","South_Puget_Sound",1,"Titlow_Beach",5,5,"inshore",47.246982,-122.555038,2025,"2025-06-21",11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"1_5_6_25","South_Puget_Sound",1,"Titlow_Beach",5,6,"inshore",47.246982,-122.555038,2025,"2025-06-21",12,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
